,ENCFF697HYA,ENCFF343RGE,ENCFF652ODI,ENCFF375BRV,ENCFF985RQJ,ENCFF330FJJ,ENC4_96,ENCFF404KPA,ENCFF849AXD,ENCFF165FED,ENCFF379DIZ,ENCFF851ANC,ENCFF572XTJ,ENCFF154DXX,ENCFF025FWJ,ENCFF029ISG,ENCFF161OLK,ENCFF671ZNH,ENCFF445FDO,ENCFF721EFA,ENCFF467CBW,ENCFF102FBO,ENCFF806AZX,ENCFF493QIX,ENCFF019UKW,ENCFF416PRK,ENCFF249CRJ,ENCFF412MPY,ENCFF012JGW,ENCFF242CUN,ENCFF827ROM,ENCFF862HPX,ENCFF378UCJ,ENCFF221TXA,ENCFF585ZQW,ENCFF065WRR,ENCFF956BAL,ENCFF385QZD,ENCFF498GDT,ENCFF991OTZ,ENCFF520TSX,ENCFF174IVI,ENCFF993DXL,ENCFF584KCO,ENCFF156WYO,ENCFF596SHW,ENCFF045TDA,ENCFF576ASU,ENC4_100,ENCFF820WYV,ENCFF588XBZ,ENC4_98,ENCFF971DKB,ENCFF544EMI,ENCFF042BAS,ENCFF317BBO,ENCFF495VKU,ENCFF376TSX,ENCFF123PWO,ENCFF723WVP,ENCFF118WQY,ENCFF243NHM,ENCFF076HOW,ENCFF686YKV,ENCFF813YRI,ENCFF766VLD
ENSG00000278267.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284332.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273874.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278791.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207730.3,198,185,682,1321,1285,3962,3406,422,557,634,1716,1327,13088,11958,24590,29934,13154,25315,128,54,79,26358,31222,25982,12,13,8633,25928,2,4,1,11,17,102,53153,534,10621,3062,5048,706,3272,694,351,476,11,154,59,5691,4167,14072,656,475,25890,24117,15,41,299,73,452,416,46,38919,677,839,24850,29407
ENSG00000207607.3,64,108,92,216,206,180,102,109,138,104,156,164,4644,4402,6882,4996,2366,2314,39,8,13,8755,9291,9600,4,1,758,847,0,0,0,4,7,20,6506,50,369,280,443,94,1303,65,2312,3387,3,16,9,794,522,1181,6249,3210,5730,5211,8,10,41,28,96,88,9,7080,108,156,4175,6240
ENSG00000198976.1,27,23,29,427,327,361,206,157,347,161,313,299,10403,11070,10323,15544,4591,5688,54,6,13,21501,21648,18158,3,5,2605,3651,0,0,0,2,1,31,12919,51,596,443,832,236,2250,104,85,158,5,25,15,1192,783,5038,168,114,7845,7745,6,28,91,42,139,105,20,36641,169,191,16464,14513
ENSG00000278073.1,0,3,4,1,1,13,11,2,1,0,1,3,4,0,4,10,11,11,8,5,4,8,0,5,7,4,2,2,19,26,11,0,1,6,13,1,1,0,2,0,42,22,63,67,8,12,8,45,23,20,730,421,14,21,3,2,30,23,1,5,14,15,17,11,6,23
ENSG00000283712.1,4,3,1,2,3,7,5,0,0,1,1,0,2,1,0,5,4,1,6,1,3,0,4,5,4,0,1,1,6,6,0,2,2,3,0,2,1,0,0,0,13,1,3,2,1,2,0,20,14,2,20,13,9,4,0,0,2,3,5,0,0,0,0,3,0,3
ENSG00000284372.1,2,1,3,0,1,0,0,1,0,0,0,0,1,0,3,3,1,6,0,3,4,0,1,0,0,0,0,2,0,3,0,5,1,1,5,1,0,1,3,0,2,7,3,2,0,0,1,6,5,4,33,23,5,0,0,3,2,5,0,2,1,2,1,2,0,0
ENSG00000283572.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207776.1,4,4,0,9,5,21,10,7,1,4,4,8,19,38,48,79,488,478,19,39,24,2,0,0,0,0,11,13,1,0,0,34,32,0,2,0,4,0,0,0,15,11,13,37,0,0,1,336,237,15,85,50,8,4,0,1,26,38,7,7,3,11,0,0,6,15
ENSG00000264341.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSG00000264101.1,0,1,2,2,1,4,4,1,2,0,0,0,2,9,16,3,6,10,1,3,3,4,1,5,0,0,2,2,4,1,11,3,1,0,2,1,0,1,3,0,0,1,2,1,0,0,0,8,7,0,2,2,2,2,0,1,3,3,1,2,0,2,0,3,1,2
ENSG00000265392.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
