,ENCFF855XWL,ENCFF394ILT,ENCFF753UVR,ENCFF423HWS,ENCFF428XME,ENCFF827OWX,ENCFF119HDC,ENCFF424IRB,ENCFF346AVD,ENCFF983TON,ENCFF945PKC,ENCFF817OKW,ENCFF840BXH,ENCFF087HIG,ENCFF517MBY,ENCFF187MBB,ENCFF026RES,ENCFF613KZJ,ENCFF874LJS,ENCFF492AZH,ENCFF928HTH,ENCFF077WSJ,ENCFF977LKL,ENCFF564OCC,ENCFF811GWB,ENCFF622GIX,ENCFF141QVV,ENCFF437SBD,ENCFF702OQW,ENCFF296NWQ,ENCFF467YZL,ENCFF375GZN,ENCFF443YAW,ENCFF559ZBP,ENCFF601YUN,ENCFF959RYF,ENCFF865DDB,ENCFF567QQP,ENCFF075BWE,ENCFF434PBY,ENCFF785XEV,ENCFF470PDD,ENCFF995TKW,ENCFF625JKM,ENCFF463OCW,ENCFF645YXV,ENCFF754CFM,ENCFF538UNB,ENCFF889KIG,ENCFF946HWJ,ENCFF392GLP,ENCFF589FYO,ENCFF494FJB,ENCFF067MGG,ENCFF729CFS,ENCFF385QYX,ENCFF905HDC,ENCFF800IDT,ENCFF074PXG,ENCFF565UUV,ENCFF344UVE,ENCFF614WZC,ENCFF611QTT,ENCFF873NQS,ENCFF682HIM,ENCFF730IMW,ENCFF018VLM,ENCFF021WXP,ENCFF545SIA,ENCFF755NNR,ENCFF253JUY,ENCFF688ZST,ENCFF837PEP,ENCFF006ELI,ENCFF461VEI,ENCFF850VDF,ENCFF538RSM,ENCFF399REE,ENCFF062GEP,ENCFF434PFO,ENCFF080DVI,ENCFF141FGO,ENCFF513ONW,ENCFF101KOX,ENCFF794XRI,ENCFF354BKY
ENSG00000278267.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000284332.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273874.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278791.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207730.3,24,106,114,25,5,41,37,45,28,18,17,42,78,64,1859,155,45,783,907,498,852,1949,74,497,372,18,24,11590,17067,16535,13399,20,5,3,15,112,143,30802,96086,14062,18290,9731,6118,8839,9495,21561,7800,21559,49354,5765,4176,10464,45857,101,20,51,15,81,115,46,116,87,9272,8229,6545,35,42,103,108,18080,4142,1945,74,54,9,52,84129,61625,130,10,8048,299,136595,609,251,22473
ENSG00000207607.3,0,20,16,6,1,10,5,11,3,3,0,3,8,7,450,10,7,164,136,141,37,490,39,59,126,8,6,1675,2681,2745,1650,3,1,1,2,25,39,2972,8030,4368,3987,1289,847,1090,1163,4819,1984,5705,7217,590,557,1858,5554,17,0,10,7,10,26,7,10,12,2206,1763,1160,6,5,17,5,1314,378,208,8,10,1,8,3650,9528,27,5,913,41,34935,83,62,3221
ENSG00000198976.1,2,4,16,2,2,4,2,13,10,4,6,5,7,6,265,16,9,70,54,102,42,393,10,27,64,2,0,1314,2451,2823,1280,1,1,0,0,23,35,4142,7282,4479,3846,961,625,831,833,3723,1713,4457,9771,290,290,717,3664,4,2,6,3,18,7,3,7,4,1542,1024,855,3,3,5,10,1163,312,147,5,14,5,8,5787,5231,8,0,582,61,24933,61,87,2210
ENSG00000278073.1,9,16,2,8,7,5,53,6,1,5,13,14,1,1,1,2,22,1,2,0,4,5,0,3,16,1,2,4,1,1,2,2,2,1,0,11,8,3,2,8,9,3,2,4,7,4,7,1,3,1,0,4,10,4,2,1,1,2,2,0,0,1,1,2,2,1,4,2,2,11,4,6,2,7,5,1,1,5,4,3,0,0,5,6,2,4
ENSG00000283712.1,0,2,1,1,0,0,0,0,1,0,6,2,0,0,1,0,3,0,1,0,0,1,2,1,3,0,2,0,0,0,0,0,0,0,1,0,2,0,2,3,3,0,0,0,0,1,0,0,1,0,0,2,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,2,1,0,1
ENSG00000284372.1,0,3,0,0,0,0,3,1,0,1,0,2,0,0,0,0,2,1,1,1,0,0,0,0,1,0,2,2,1,1,1,0,0,0,0,1,0,1,1,2,1,2,2,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,3
ENSG00000283572.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207776.1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,32,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,7,5
ENSG00000264341.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264101.1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,1,1,0,0,2,1,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,0,0
ENSG00000265392.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274258.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0
ENSG00000284357.1,8073,40188,2367,4299,3208,2369,9983,12580,9950,16130,19571,24960,2599,3451,12966,8801,16623,9752,8139,2965,2241,4434,4754,2762,5800,1548,7755,944,884,2266,1427,344,349,217,259,5951,5502,1440,2876,7896,24933,1058,850,1012,968,17365,7616,5298,3009,3535,2204,4922,14633,2493,1211,2702,2355,1199,5304,3392,3571,3175,2556,3289,1439,1980,1904,3865,2355,2734,1601,1576,763,4843,11222,3678,2586,5034,11629,3323,5249,1450,4805,12402,2778,14847
ENSG00000265521.1,9,35,0,5,3,2,5,3,3,0,1,0,0,1,1,0,5,3,2,0,1,8,6,5,4,1,1,7,3,0,3,7,3,1,3,2,2,2,1,4,4,3,1,0,0,1,2,8,1,2,0,2,6,4,2,3,2,0,2,1,0,1,6,7,1,2,1,0,0,2,1,0,0,1,3,3,4,3,7,0,0,2,6,1,4,3
ENSG00000264881.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
