,ENCFF855XWL,ENCFF394ILT,ENCFF753UVR,ENCFF423HWS,ENCFF428XME,ENCFF827OWX,ENCFF119HDC,ENCFF424IRB,ENCFF346AVD,ENCFF983TON,ENCFF945PKC,ENCFF817OKW,ENCFF840BXH,ENCFF087HIG,ENCFF517MBY,ENCFF187MBB,ENCFF026RES,ENCFF613KZJ,ENCFF874LJS,ENCFF492AZH,ENCFF928HTH,ENCFF077WSJ,ENCFF977LKL,ENCFF564OCC,ENCFF811GWB,ENCFF622GIX,ENCFF141QVV,ENCFF437SBD,ENCFF702OQW,ENCFF296NWQ,ENCFF467YZL,ENCFF375GZN,ENCFF443YAW,ENCFF559ZBP,ENCFF601YUN,ENCFF959RYF,ENCFF865DDB,ENCFF567QQP,ENCFF075BWE,ENCFF434PBY,ENCFF785XEV,ENCFF470PDD,ENCFF995TKW,ENCFF625JKM,ENCFF463OCW,ENCFF645YXV,ENCFF754CFM,ENCFF538UNB,ENCFF889KIG,ENCFF946HWJ,ENCFF392GLP,ENCFF589FYO,ENCFF494FJB,ENCFF067MGG,ENCFF729CFS,ENCFF385QYX,ENCFF905HDC,ENCFF800IDT,ENCFF074PXG,ENCFF565UUV,ENCFF344UVE,ENCFF614WZC,ENCFF611QTT,ENCFF873NQS,ENCFF682HIM,ENCFF730IMW,ENCFF018VLM,ENCFF021WXP,ENCFF545SIA,ENCFF755NNR,ENCFF253JUY,ENCFF688ZST,ENCFF837PEP,ENCFF006ELI,ENCFF461VEI,ENCFF850VDF,ENCFF538RSM,ENCFF399REE,ENCFF062GEP,ENCFF434PFO,ENCFF080DVI,ENCFF141FGO,ENCFF513ONW,ENCFF101KOX,ENCFF794XRI,ENCFF354BKY,ENCFF697HYA,ENCFF343RGE,ENCFF652ODI,ENCFF375BRV,ENCFF985RQJ,ENCFF330FJJ,ENC4_96,ENCFF404KPA,ENCFF849AXD,ENCFF165FED,ENCFF379DIZ,ENCFF851ANC,ENCFF572XTJ,ENCFF154DXX,ENCFF025FWJ,ENCFF029ISG,ENCFF161OLK,ENCFF671ZNH,ENCFF445FDO,ENCFF721EFA,ENCFF467CBW,ENCFF102FBO,ENCFF806AZX,ENCFF493QIX,ENCFF019UKW,ENCFF416PRK,ENCFF249CRJ,ENCFF412MPY,ENCFF012JGW,ENCFF242CUN,ENCFF827ROM,ENCFF862HPX,ENCFF378UCJ,ENCFF221TXA,ENCFF585ZQW,ENCFF065WRR,ENCFF956BAL,ENCFF385QZD,ENCFF498GDT,ENCFF991OTZ,ENCFF520TSX,ENCFF174IVI,ENCFF993DXL,ENCFF584KCO,ENCFF156WYO,ENCFF596SHW,ENCFF045TDA,ENCFF576ASU,ENC4_100,ENCFF820WYV,ENCFF588XBZ,ENC4_98,ENCFF971DKB,ENCFF544EMI,ENCFF042BAS,ENCFF317BBO,ENCFF495VKU,ENCFF376TSX,ENCFF123PWO,ENCFF723WVP,ENCFF118WQY,ENCFF243NHM,ENCFF076HOW,ENCFF686YKV,ENCFF813YRI,ENCFF766VLD
MIR494,106,633,41,58,41,67,92,2951,3513,4007,2676,4796,66,97,845,221,226,59,47,82,44,252,532,281,398,40,9,244,319,263,209,64,38,40,70,327,180,72,191,119,419,195,118,237,263,52,59,569,267,22,14,95,357,109,54,134,64,47,375,249,284,233,29,29,13,62,48,56,44,212,113,64,73,112,94,54,81,61,147,23,23,157,182,46,256,33,19,159,179,1,2,3,2,2,4,0,3,5,9,1,18,10,32,40,110,53,115,18,9,5,1902,2461,1,0,1625,908,655,45,29,4693,17,1611,5,14,9,1,308,244,11,4,3,6,4,14,9,50,9,4,113,63,950,2426,3,21,144,122,0,165,114,172,7,28
MIRLET7E,47401,318250,35043,27701,14631,10622,188701,28745,21466,68925,50586,82977,10064,13861,25347,6815,41840,19547,17055,6382,4423,11790,20626,20958,26122,2037,18482,10636,11113,14943,9614,4038,3584,2881,2781,24484,19856,8275,8022,26212,71869,12605,7604,11124,9243,16259,13806,22391,11803,25926,20927,54061,168607,26273,20510,12157,11099,9098,14805,9940,18462,16491,29660,37826,24475,8664,20864,19506,8930,7719,5407,12157,6072,19806,17960,17966,24598,9057,26407,5549,3697,4587,34184,31073,2965,13657,135,177,65,61,62,233,134,132,49,26,26,48,10935,12481,13656,15349,11405,6887,5441,2052,2923,33078,28616,37416,30731,19911,118,118,21959,27406,46187,3041,2369,20880,53738,23743,57,71,289,72,65029,42626,1022,1387,28267,60845,39359,8659,5582,51614,12917,7094,68771,71588,21164,41527,415,690,117,91,20816,1590,15928,22810,7444,28750
MIR375,192,1463,121,193,4,14,26,5864,1427,1394,3082,3191,136,441,134,112,114,3853,3659,2703,9031,15196,201,495,157,144,281,785207,865651,742134,722309,293,113,59,189,13,272,49336,134062,37033,46107,594,1557,954,1524,38644,29338,795779,821873,129696,64696,150012,840866,159,87,62,5,26,1370,578,464,240,9896,2843,905,102,116,466,279,6958,1523,919,122,19,4,69,112733,3371,44,1,10213,1010,260194,522,505,23409,8,713,161,61,66,547,168,214,66,37,242,118,2988,3766,5021,569,152,57,213,237,226,4670,4718,3622,28,18,1189,529,4,5,2,111,128,7,19340,138,140721,132782,163190,34039,715,3059,98802,138334,2,13,6,1022,638,172,946709,452938,41747,42306,18,57,420,212,120,107,24,170744,258,291,154163,593274
MIR30E,39508,241661,15627,24290,33307,28153,40644,25615,18522,12568,11134,17319,3419,4006,18659,23657,43983,6275,4982,10512,2711,33002,15678,12408,9654,2001,3425,6084,9953,14670,7592,29612,12385,8231,26049,149047,92496,2915,10748,30973,39800,10411,7547,8034,9245,32029,26539,14430,16088,3348,2568,3894,23071,21555,13109,27341,26924,29201,5921,4452,4821,3133,23966,23166,10333,6629,6513,8433,8205,6692,3903,3126,3902,98526,114146,15429,6599,10460,80459,25215,5915,9378,28153,11616,13191,20348,27697,71109,36040,6765,6904,10833,3083,4469,7584,3112,2613,6065,24808,31467,34559,66991,42640,19444,74373,49657,92554,19459,21466,12208,4364,7573,7954,3711,2735,3107,1702,40826,31282,11706,11849,32877,5261,5078,9804,970,49408,10001,15394,20955,4113,5370,4082,31789,22413,56746,22132,13332,22827,14500,23605,52445,14276,36850,10417,13590,6261,15924,6571,7324,16353,42885
MIRLET7A2,1851,12327,944,1101,196,81,1990,2367,1331,2101,937,597,3121,4750,2535,625,4427,2406,1976,664,225,1622,1138,1165,1327,156,1417,1791,1897,1932,1511,929,726,441,602,572,936,112,369,1430,1702,6181,3243,4313,4229,1129,713,2334,741,2243,1815,4244,15411,1282,1115,1147,252,228,1549,883,1693,1613,3308,4360,3107,1598,2897,3598,3050,3204,1735,2055,1507,461,463,131,513,292,362,146,475,363,1368,1167,220,1098,143,633,223,6,15,6,2,48,41,6,5,21,2015,2185,1836,105,34,9,127,81,79,550,634,269,2017,2629,2,3,689,603,1213,25,16,620,3587,460,2,23,73,0,192,102,7,6,492,732,443,12,7,57,17,14,361,318,2168,4503,4,10,5,5,224,18,74,101,22,84
MIR429,2,4,16,2,2,4,2,13,10,4,6,5,7,6,265,16,9,70,54,102,42,393,10,27,64,2,0,1314,2451,2823,1280,1,1,0,0,23,35,4142,7282,4479,3846,961,625,831,833,3723,1713,4457,9771,290,290,717,3664,4,2,6,3,18,7,3,7,4,1542,1024,855,3,3,5,10,1163,312,147,5,14,5,8,5787,5231,8,0,582,61,24933,61,87,2210,27,23,29,427,327,361,206,157,347,161,313,299,10403,11070,10323,15544,4591,5688,54,6,13,21501,21648,18158,3,5,2605,3651,0,0,0,2,1,31,12919,51,596,443,832,236,2250,104,85,158,5,25,15,1192,783,5038,168,114,7845,7745,6,28,91,42,139,105,20,36641,169,191,16464,14513
MIR380,0,11,1,0,0,5,10,71,81,52,115,539,2,3,79,10,3,1,4,8,3,16,16,8,29,2,2,10,9,0,2,1,0,2,1,30,52,1,12,12,47,2,0,3,5,2,3,16,36,0,1,0,6,2,0,3,3,21,8,3,6,3,0,0,0,0,0,0,1,2,2,1,3,59,7,4,3,3,6,2,1,9,19,3,83,4,0,18,20,0,0,1,0,0,0,0,1,0,0,0,2,3,4,10,17,29,137,3,3,1,28,31,0,0,221,157,146,56,42,416,6,117,2,3,2,0,27,45,0,1,0,1,3,8,6,18,2,1,4,1,51,133,12,8,16,14,0,269,2,6,10,6
MIR449A,33,127,3,9,3,4,12,45,14,6,4,15,32,35,98,11,52,22,16,17,4,37,25,14,16,6,6,20,20,89,48,6,1,2,7,5,15,3,24,844,125,11,1,14,12,7428,104,183,39,21,130,372,134,2,5,7,6,2,10261,5266,2471,1352,92,102,92,14,2,12,10,9,2,8,2,2,8,36,15,56,9,1,355,3,6,41,139,14,65,140,113,11,24,29,8,23,17,12,0,13,585,631,717,17,43,26,103,80,58,135,101,7,30,42,17,19,11,7,4,39,34,22,53,868,9,7,81,7,121,65,3940,5665,24,35,19,38,29,103,9546,3906,164,116,5,29,29,81,32,14,2,2,111,216,694,1070
MIR345,235,1722,131,143,98,78,1082,391,359,605,402,1420,197,239,276,417,1165,213,199,307,106,746,313,516,309,41,37,154,132,118,108,96,62,40,61,309,208,157,309,800,2117,47,55,56,67,644,246,190,259,177,83,276,1660,127,114,122,216,99,306,167,135,90,1258,1657,937,68,95,100,92,132,76,66,45,141,178,162,242,322,223,56,173,139,540,61,678,300,321,701,703,266,236,863,399,460,338,82,64,183,984,1284,1538,1845,1893,1949,569,588,524,5460,5193,2929,194,112,227,184,125,191,56,610,561,1247,437,824,117,64,181,60,2540,546,2849,4368,133,189,175,14572,12020,2036,10359,5232,1893,2278,379,826,1937,2810,497,344,501,2016,481,617,1537,1935
MIR16-2,685,5203,235,531,564,608,1228,1356,750,507,1164,1596,92,170,1261,1405,2872,311,221,1039,560,2155,3282,3798,2569,254,686,250,448,538,287,265,130,105,234,1998,2167,245,1898,8300,4739,776,412,686,641,3914,4992,953,1267,107,138,284,747,448,243,953,294,629,602,543,441,238,537,564,364,435,773,786,937,691,423,278,348,1279,1413,395,666,1243,1596,762,1909,1225,2413,1876,691,2764,3814,26663,27160,183,200,1007,541,103,145,313,242,503,1163,1185,2120,1251,1090,1011,3725,35968,38770,1413,1745,1578,304,730,483,731,1263,689,470,6041,3995,739,1624,2622,433,1031,397,132,1480,1771,808,1078,436,1073,810,3133,2082,1831,3622,2238,361,219,374,825,3663,4243,505,651,1175,616,141,157,3186,1005
