,ENCFF697HYA,ENCFF343RGE,ENCFF652ODI,ENCFF375BRV,ENCFF985RQJ,ENCFF330FJJ,ENC4_96,ENCFF404KPA,ENCFF849AXD,ENCFF165FED,ENCFF379DIZ,ENCFF851ANC,ENCFF572XTJ,ENCFF154DXX,ENCFF025FWJ,ENCFF029ISG,ENCFF161OLK,ENCFF671ZNH,ENCFF445FDO,ENCFF721EFA,ENCFF467CBW,ENCFF102FBO,ENCFF806AZX,ENCFF493QIX,ENCFF019UKW,ENCFF416PRK,ENCFF249CRJ,ENCFF412MPY,ENCFF012JGW,ENCFF242CUN,ENCFF827ROM,ENCFF862HPX,ENCFF378UCJ,ENCFF221TXA,ENCFF585ZQW,ENCFF065WRR,ENCFF956BAL,ENCFF385QZD,ENCFF498GDT,ENCFF991OTZ,ENCFF520TSX,ENCFF174IVI,ENCFF993DXL,ENCFF584KCO,ENCFF156WYO,ENCFF596SHW,ENCFF045TDA,ENCFF576ASU,ENC4_100,ENCFF820WYV,ENCFF588XBZ,ENC4_98,ENCFF971DKB,ENCFF544EMI,ENCFF042BAS,ENCFF317BBO,ENCFF495VKU,ENCFF376TSX,ENCFF123PWO,ENCFF723WVP,ENCFF118WQY,ENCFF243NHM,ENCFF076HOW,ENCFF686YKV,ENCFF813YRI,ENCFF766VLD
MIR494,19,159,179,1,2,3,2,2,4,0,3,5,9,1,18,10,32,40,110,53,115,18,9,5,1902,2461,1,0,1625,908,655,45,29,4693,17,1611,5,14,9,1,308,244,11,4,3,6,4,14,9,50,9,4,113,63,950,2426,3,21,144,122,0,165,114,172,7,28
MIRLET7E,135,177,65,61,62,233,134,132,49,26,26,48,10935,12481,13656,15349,11405,6887,5441,2052,2923,33078,28616,37416,30731,19911,118,118,21959,27406,46187,3041,2369,20880,53738,23743,57,71,289,72,65029,42626,1022,1387,28267,60845,39359,8659,5582,51614,12917,7094,68771,71588,21164,41527,415,690,117,91,20816,1590,15928,22810,7444,28750
MIR375,8,713,161,61,66,547,168,214,66,37,242,118,2988,3766,5021,569,152,57,213,237,226,4670,4718,3622,28,18,1189,529,4,5,2,111,128,7,19340,138,140721,132782,163190,34039,715,3059,98802,138334,2,13,6,1022,638,172,946709,452938,41747,42306,18,57,420,212,120,107,24,170744,258,291,154163,593274
MIR30E,27697,71109,36040,6765,6904,10833,3083,4469,7584,3112,2613,6065,24808,31467,34559,66991,42640,19444,74373,49657,92554,19459,21466,12208,4364,7573,7954,3711,2735,3107,1702,40826,31282,11706,11849,32877,5261,5078,9804,970,49408,10001,15394,20955,4113,5370,4082,31789,22413,56746,22132,13332,22827,14500,23605,52445,14276,36850,10417,13590,6261,15924,6571,7324,16353,42885
MIRLET7A2,143,633,223,6,15,6,2,48,41,6,5,21,2015,2185,1836,105,34,9,127,81,79,550,634,269,2017,2629,2,3,689,603,1213,25,16,620,3587,460,2,23,73,0,192,102,7,6,492,732,443,12,7,57,17,14,361,318,2168,4503,4,10,5,5,224,18,74,101,22,84
MIR429,27,23,29,427,327,361,206,157,347,161,313,299,10403,11070,10323,15544,4591,5688,54,6,13,21501,21648,18158,3,5,2605,3651,0,0,0,2,1,31,12919,51,596,443,832,236,2250,104,85,158,5,25,15,1192,783,5038,168,114,7845,7745,6,28,91,42,139,105,20,36641,169,191,16464,14513
MIR380,0,18,20,0,0,1,0,0,0,0,1,0,0,0,2,3,4,10,17,29,137,3,3,1,28,31,0,0,221,157,146,56,42,416,6,117,2,3,2,0,27,45,0,1,0,1,3,8,6,18,2,1,4,1,51,133,12,8,16,14,0,269,2,6,10,6
MIR449A,65,140,113,11,24,29,8,23,17,12,0,13,585,631,717,17,43,26,103,80,58,135,101,7,30,42,17,19,11,7,4,39,34,22,53,868,9,7,81,7,121,65,3940,5665,24,35,19,38,29,103,9546,3906,164,116,5,29,29,81,32,14,2,2,111,216,694,1070
MIR345,321,701,703,266,236,863,399,460,338,82,64,183,984,1284,1538,1845,1893,1949,569,588,524,5460,5193,2929,194,112,227,184,125,191,56,610,561,1247,437,824,117,64,181,60,2540,546,2849,4368,133,189,175,14572,12020,2036,10359,5232,1893,2278,379,826,1937,2810,497,344,501,2016,481,617,1537,1935
MIR16-2,3814,26663,27160,183,200,1007,541,103,145,313,242,503,1163,1185,2120,1251,1090,1011,3725,35968,38770,1413,1745,1578,304,730,483,731,1263,689,470,6041,3995,739,1624,2622,433,1031,397,132,1480,1771,808,1078,436,1073,810,3133,2082,1831,3622,2238,361,219,374,825,3663,4243,505,651,1175,616,141,157,3186,1005
MIR340,204,16,2,176,128,420,263,115,169,120,94,301,243,303,414,1374,774,939,452,1275,1908,503,554,1991,37,60,558,872,1,20,9,760,427,600,141,1751,475,124,313,136,1220,1094,979,1416,345,238,376,3183,2025,3256,3213,1561,436,461,125,274,6028,6172,1153,954,1042,4218,160,222,556,657
